,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team
0,2021-02-26,1,1,18:04,等々力,横浜FM,0,2,川崎Ｆ
1,2021-02-27,1,2,14:00,札幌ド,横浜FC,1,5,札幌
2,2021-02-27,1,3,14:00,埼玉,FC東京,1,1,浦和
3,2021-02-27,1,4,14:03,Ｅスタ,仙台,1,1,広島
4,2021-02-27,1,5,14:03,昭和電ド,徳島,1,1,大分
5,2021-02-27,1,6,15:03,カシマ,清水,3,1,鹿島
6,2021-02-27,1,7,15:03,レモンＳ,鳥栖,1,0,湘南
7,2021-02-27,1,8,16:03,ヤンマー,柏,0,2,Ｃ大阪
8,2021-02-27,1,9,17:03,ノエスタ,Ｇ大阪,0,1,神戸
9,2021-02-28,1,10,13:05,ベススタ,名古屋,2,1,福岡
10,2021-03-06,2,1,14:04,ユアスタ,川崎Ｆ,5,1,仙台
11,2021-03-06,2,2,14:03,味スタ,Ｃ大阪,2,3,FC東京
12,2021-03-06,2,3,14:03,アイスタ,福岡,2,2,清水
13,2021-03-06,2,4,14:03,鳴門大塚,神戸,1,1,徳島
14,2021-03-06,2,5,15:03,ニッパツ,大分,2,1,横浜FC
15,2021-03-06,2,6,15:03,駅スタ,浦和,0,2,鳥栖
16,2021-03-06,2,7,16:03,三協Ｆ柏,湘南,1,2,柏
17,2021-03-06,2,8,16:03,豊田ス,札幌,0,1,名古屋
18,2021-03-07,2,9,13:03,日産ス,広島,3,3,横浜FM
19,2021-07-24,2,10,19:03,パナスタ,鹿島,1,0,Ｇ大阪
20,2021-03-10,3,1,18:03,ベススタ,横浜FM,3,1,福岡
21,2021-03-10,3,2,18:01,三協Ｆ柏,名古屋,1,0,柏
22,2021-03-10,3,3,18:03,味スタ,神戸,3,2,FC東京
23,2021-03-10,3,4,18:03,埼玉,横浜FC,0,2,浦和
24,2021-03-10,3,5,19:03,カシマ,湘南,1,3,鹿島
25,2021-03-10,3,6,19:03,等々力,徳島,0,2,川崎Ｆ
26,2021-03-10,3,7,19:03,ヤンマー,清水,1,2,Ｃ大阪
27,2021-03-10,3,8,19:03,Ｅスタ,札幌,1,2,広島
28,2021-03-10,3,9,19:04,駅スタ,仙台,0,5,鳥栖
29,2021-07-27,3,10,19:03,パナスタ,大分,1,2,Ｇ大阪
30,2021-03-13,4,1,14:01,鳴門大塚,福岡,2,1,徳島
31,2021-03-13,4,2,16:00,ニッパツ,Ｃ大阪,4,1,横浜FC
32,2021-03-13,4,3,16:03,カシマ,広島,1,1,鹿島
33,2021-03-13,4,4,16:03,レモンＳ,仙台,1,3,湘南
34,2021-03-13,4,5,17:33,等々力,柏,0,1,川崎Ｆ
35,2021-03-13,4,6,18:03,ノエスタ,名古屋,1,0,神戸
36,2021-03-14,4,7,13:03,日産ス,浦和,0,3,横浜FM
37,2021-03-14,4,8,14:03,アイスタ,鳥栖,0,0,清水
38,2021-03-14,4,9,15:03,昭和電ド,FC東京,1,1,大分
39,2021-07-30,4,10,18:03,札幌厚別,Ｇ大阪,2,0,札幌
40,2021-03-17,5,1,18:01,味スタ,湘南,2,3,FC東京
41,2021-03-17,5,2,18:04,埼玉,札幌,0,0,浦和
42,2021-03-17,5,3,18:03,ベススタ,鹿島,0,1,福岡
43,2021-03-17,5,4,19:03,ノエスタ,川崎Ｆ,1,1,神戸
44,2021-03-17,5,5,19:03,Ｅスタ,清水,0,1,広島
45,2021-03-17,5,6,19:03,豊田ス,横浜FC,0,3,名古屋
46,2021-03-17,5,7,19:03,ニッパツ,徳島,0,1,横浜FM
47,2021-03-17,5,8,19:03,ヤンマー,大分,0,1,Ｃ大阪
48,2021-03-17,5,9,19:03,駅スタ,柏,0,2,鳥栖
49,2021-08-03,5,10,19:03,ユアスタ,Ｇ大阪,1,0,仙台
50,2021-03-20,6,1,14:03,札幌ド,神戸,4,3,札幌
51,2021-03-21,6,2,13:03,味スタ,仙台,1,2,FC東京
52,2021-03-21,6,3,14:03,鳴門大塚,横浜FC,1,2,徳島
53,2021-03-21,6,4,14:03,駅スタ,福岡,0,0,鳥栖
54,2021-03-21,6,5,14:03,昭和電ド,広島,3,1,大分
55,2021-03-21,6,6,15:04,埼玉,川崎Ｆ,5,0,浦和
56,2021-03-21,6,7,15:01,レモンＳ,Ｃ大阪,0,0,湘南
57,2021-03-21,6,8,16:03,カシマ,名古屋,1,0,鹿島
58,2021-03-21,6,9,16:03,三協Ｆ柏,清水,2,1,柏
59,2021-08-06,6,10,19:03,パナスタ,横浜FM,3,2,Ｇ大阪
60,2021-04-02,7,1,19:03,ヤンマー,鳥栖,0,1,Ｃ大阪
61,2021-04-03,7,2,13:03,日産ス,湘南,1,1,横浜FM
62,2021-04-03,7,3,14:03,ユアスタ,神戸,2,0,仙台
63,2021-04-03,7,4,14:03,豊田ス,FC東京,0,0,名古屋
64,2021-04-03,7,5,14:03,Ｅスタ,Ｇ大阪,0,0,広島
65,2021-04-03,7,6,14:03,ベススタ,札幌,2,1,福岡
66,2021-04-03,7,7,15:04,埼玉,鹿島,1,2,浦和
67,2021-04-03,7,8,17:03,ニッパツ,柏,1,1,横浜FC
68,2021-04-03,7,9,19:01,等々力,大分,0,2,川崎Ｆ
